Birmingham,WBHM,FM,90.3,Alabama
Dothan,WRWA,FM,88.7,Alabama
Gadsden,WSGN,FM,91.5,Alabama
Huntsville,WJAB,FM,90.9,Alabama
Huntsville,WLRH,FM,89.3,Alabama
Jacksonville,WLJS,FM,91.9,Alabama
Mobile,WHIL,FM,91.3,Alabama
Montgomery,WVAS,FM,90.7,Alabama
Montgomery/Troy,WTSU,FM,89.9,Alabama
Muscle Shoals,WQPR,FM,88.7,Alabama
Selma,WAPR,FM,88.3,Alabama
Tuscaloosa,WUAL,FM,91.5,Alabama
Anchorage,KSKA,FM,91.1,Alaska
Barrow,KBRW,AM,680,Alaska
Barrow,KBRW,FM,91.9,Alaska
Bethel,KYUK,AM,640,Alaska
Chevak,KCUK,FM,88.1,Alaska
Dillingham,KDLG,AM,670,Alaska
Fairbanks,KUAC,FM,89.9,Alaska
Galena,KIYU,AM,910,Alaska
Glennallen,KXGA,FM,90.5,Alaska
Haines,KHNS,FM,102.3,Alaska
Homer,KBBI,AM,890,Alaska
Juneau,KTOO,FM,104.3,Alaska
Kenai,KDLL,FM,91.9,Alaska
Ketchikan,KRBD,FM,105.9,Alaska
Kodiak,KMXT,FM,100.1,Alaska
McCarthy,KXKM,FM,89.7,Alaska
McGrath,KSKO,AM,870,Alaska
Petersburg,KFSK,FM,100.9,Alaska
Sitka,KCAW,FM,104.7,Alaska
St Paul,KUSB,FM,91.9,Alaska
Talkeetna,KTNA,FM,88.5,Alaska
Unalaska,KIAL,AM,1450,Alaska
Valdez,KCHU,AM,770,Alaska
Wrangell,KSTK,FM,101.7,Alaska
Flagstaff,KPUB,FM,91.7,Arizona
Flagstaff,KNAU,FM,88.7,Arizona
Grand Canyon,KNAG,FM,90.3,Arizona
Page,KNAD,FM,91.7,Arizona
Phoenix,KBAQ,FM,89.5,Arizona
Phoenix,KJZZ,FM,91.5,Arizona
Prescott,KNAQ,FM,89.3,Arizona
Show Low,KNAA,FM,90.7,Arizona
Tucson,KUAZ,AM,1550,Arizona
Tucson,KUAZ,FM,89.1,Arizona
White River,KNNB,FM,88.1,Arizona
Yuma,KAWC,AM,1320,Arizona
Yuma,KAWC,FM,88.9,Arizona
El Dorado,KBSA,FM,90.9,Arkansas
Fayetteville,KUAF,FM,91.3,Arkansas
Jonesboro,KASU,FM,91.9,Arkansas
Little Rock,KLRE,FM,90.5,Arkansas
Little Rock,KUAR,FM,89.1,Arkansas
Arcata,KHSU,FM,90.5,California
Bakersfield,KPRX,FM,89.1,California
Burney,KNCA,FM,89.7,California
Chico,KCHO,FM,91.7,California
Crescent City,KHSR,FM,91.9,California
